date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:15	12870/12870	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2005:28:49%20GMT	https://www.mairamansoor.com/	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/index.html	(from )
00:59:15	1177/1177	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222126275b0ad88ed84e2e06f29785a63b%22	https://www.mairamansoor.com/robots.txt		(from )
00:59:16	77236/77236	---M-Z	200	added ('OK')	text/css	etag:%2250b81b84001f39f67a5c7affe8de105c%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/css/mairamansoor.webflow.4afed9bca.css	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/css/mairamansoor.webflow.4afed9bca.css	(from https://www.mairamansoor.com/)
00:59:16	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Maira/Maira%20Portfolio/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.mairamansoor.com/)
00:59:16	663/663	---M--	200	added ('OK')	image/png	etag:%22ab981fff3f4eb888f0940a44940c3f4a%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6544438e8aeaa588f4ae2cbd_favicon.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6544438e8aeaa588f4ae2cbd_favicon.png	(from https://www.mairamansoor.com/)
00:59:17	4807/4807	---M--	200	added ('OK')	image/png	etag:%224ff20fa6aa65e68a21f28fefb0a2c3e9%22	https://cdn.prod.website-files.com/img/webclip.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/img/webclip.png	(from https://www.mairamansoor.com/)
00:59:17	26410/26410	---M--	200	added ('OK')	image/png	etag:%22b410f82fb6bdb5d50fb083ce59542fc5%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66591fdf8a23c68af36756de_creature.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66591fdf8a23c68af36756de_creature.png	(from https://www.mairamansoor.com/)
00:59:18	35513/35513	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2005:50:51%20GMT	https://www.mairamansoor.com/projects/capstone-project	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/projects/capstone-project.html	(from https://www.mairamansoor.com/)
00:59:19	6362/6362	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2024%20Sep%202025%2019:59:19%20GMT	https://www.mairamansoor.com/projects/cisco-u	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/projects/cisco-u	(from https://www.mairamansoor.com/)
00:59:19	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2024%20Sep%202025%2019:59:19%20GMT	https://www.mairamansoor.com/projects/mmbl	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/projects/mmbl	(from https://www.mairamansoor.com/)
